Time Step,p-in,t-out,t-cs-avg,t-cs-max,t-max,t-pb-max,htc-cs-avg,t-endcap-max,t-inner-tube-max,flow-time,courant-max
16,10190870.28198037,930.4114261793776,1232.260404817777,1332.2060546875,1949.0478515625,1388.23779296875,-21468.66071253404,1382.857788085938,935.4835815429688,0.0068999999999999,55858.81799878473
17,10190870.28198037,931.0243737182172,1232.216527510168,1331.99365234375,1949.620239257812,1388.0400390625,-21468.96415253714,1382.789184570312,935.5530395507812,0.0075,55859.33786569303
18,10190870.28198037,931.0852487214948,1232.172960495454,1331.791015625,1950.208374023438,1387.856079101562,-21468.95079480697,1382.722778320312,935.6151123046876,0.0081,55859.8082298054
19,10190870.28198037,931.1163547421744,1232.129793955884,1331.59765625,1950.81201171875,1387.678100585938,-21469.1969610617,1382.658447265625,941.8868408203124,0.0086999999999999,55860.28850449351
20,10190870.28198037,931.077503637704,1232.087097345757,1331.412719726562,1951.4306640625,1387.504516601562,-21469.38050112168,1382.595703125,950.1992797851562,0.0092999999999999,55860.75393320482
21,10190870.28198037,930.8341663064424,1232.044913528988,1331.23583984375,1952.06396484375,1387.341552734375,-21470.01950966256,1382.53466796875,956.8822021484376,0.0098999999999999,55861.15004885565
22,10190870.28198037,931.1373619687456,1232.003282227649,1331.06640625,1952.711669921875,1387.18310546875,-21470.9061554634,1382.474853515625,955.5020751953124,0.0105,55861.45209081434
23,10190870.28198037,931.0287290924736,1231.962187157302,1330.903686523438,1953.373413085938,1387.028686523438,-21470.36175809343,1382.41650390625,951.0903930664062,0.0111,55861.93239377037
24,10190870.28198037,930.615290971966,1231.921666429457,1330.747436523438,1954.049072265625,1386.87841796875,-21470.4039773737,1382.359130859375,953.5623168945312,0.0117,55862.30376769729
25,10190870.28198037,930.6924815952668,1231.881716392324,1330.59716796875,1954.738037109375,1386.732177734375,-21470.41923827434,1382.302978515625,949.3067626953124,0.0123,55862.6602913127
26,10190870.28198037,930.4284720196994,1231.842342756924,1330.452514648438,1955.440307617188,1386.594116210938,-21470.55876173906,1382.247802734375,954.4762573242188,0.0129,55862.94749420129
27,10190870.28198037,931.0531035701688,1231.803532215298,1330.31298828125,1956.155639648438,1386.460571289062,-21470.81694144709,1382.193603515625,959.6231079101562,0.0135,55863.28917044967
28,10190870.28198037,930.518849890016,1231.765292655828,1330.178344726562,1956.883666992188,1386.330444335938,-21471.33235624163,1382.140258789062,964.8567504882812,0.0141,55863.57142789429
29,10190870.28198037,930.7363491341448,1231.727604495746,1330.04833984375,1957.624267578125,1386.20361328125,-21471.82035566108,1382.087768554688,969.079345703125,0.0147,55863.86359211309
30,10190870.28198037,930.3413166346128,1231.690450338303,1329.922607421875,1958.377197265625,1386.079833984375,-21471.43653829498,1382.0361328125,969.7757568359376,0.0153,55864.14090335104
31,10190870.28198037,930.5865198394192,1231.653836447503,1329.801025390625,1959.142211914062,1385.959106445312,-21471.81941155374,1381.985107421875,970.0208740234376,0.0159,55864.37860088918
32,10190870.28198037,930.6586631101712,1231.617732163479,1329.68310546875,1959.919189453125,1385.841430664062,-21471.85933950674,1381.934936523438,970.4757080078124,0.0165,55864.67572565638
33,10190870.28198037,930.4289082837475,1231.582142345159,1329.568969726562,1960.707885742188,1385.7265625,-21472.02970923463,1381.885498046875,970.2749633789062,0.0171,55864.85400203381
34,10190870.28198037,930.8089052241588,1231.5470497721,1329.458129882812,1961.508178710938,1385.614501953125,-21472.51295237357,1381.836669921875,968.077880859375,0.0177,55865.05208823212
