Strain,Stress
0.0488,568.3207677
0.049,568.3120604
0.049,567.783544
0.049,568.1358882
0.0492,567.9510088
0.0494,567.9423014
0.0494,567.9423014
0.0496,567.933594
0.0496,567.933594
0.0498,568.1010588
0.0498,568.1010588
0.05,567.9161793
0.05,567.9161793
0.0502,568.0836441
0.0502,567.7312998
0.0504,567.5464203
0.0504,567.5464203
0.0506,567.7138851
0.0506,567.537713
0.0508,567.3528335
0.0508,567.3528335
0.051,567.5202983
0.0512,567.5115909
0.0512,567.3354188
0.0512,567.5115909
0.0514,567.3267114
0.0514,567.3267114
0.0516,567.3180041
0.0516,567.1418319
0.0518,567.1331246
0.052,567.1244172
0.052,566.9482451
0.0522,566.7633656
0.0522,566.9395377
0.0524,566.9308304
0.0524,566.9308304
0.0526,566.5697787
0.0528,566.3848993
0.0528,566.5610714
0.0528,566.7372435
0.053,566.7285362
0.053,566.552364
0.0532,566.3674845
0.0532,566.3674845
0.0534,566.3587772
0.0534,566.0064329
0.0536,566.1738977
0.0538,566.1651903
0.0538,566.3413625
0.0538,565.9890182
0.054,565.8041387
0.0542,565.6192592
0.0542,565.9716035
0.0544,565.4343797
0.0546,565.7780166
0.0546,565.7780166
0.0548,565.7693093
0.0548,565.416965
0.055,565.5844298
0.055,565.5844298
0.0552,565.047206
0.0552,565.3995503
0.0554,565.3908429
0.0554,565.3908429
0.0556,565.0297913
0.0556,565.2059634
0.0558,565.1972561
0.0558,565.1972561
0.056,565.0123766
0.056,565.0123766
0.0562,564.8274971
0.0562,565.1798414
0.0562,564.8274971
0.0564,564.8187898
0.0566,564.8100824
0.0566,564.6339103
0.0568,564.6252029
0.0568,564.6252029
0.057,564.7926677
0.057,564.2641513
0.0572,564.2554439
0.0572,564.2554439
0.0574,564.2467366
0.0574,564.0705644
0.0576,563.8856849
0.0576,564.0618571
0.0578,564.0531497
0.0578,563.8769776
0.058,563.8682702
0.058,563.6920981
0.0582,563.6833907
0.0582,563.5072186
0.0584,563.6746834
0.0584,563.4985112
0.0586,563.4898039
0.0586,563.3136318
0.0588,563.3049244
0.0588,563.3049244
0.059,563.1200449
0.059,563.1200449
0.0592,563.2875097
0.0592,562.9351654
0.0594,563.1026302
0.0594,562.9264581
0.0596,562.9177507
0.0598,562.7328712
0.0598,562.7328712
0.0598,562.7328712
0.06,562.5479917
0.06,562.3718196
0.0602,562.3631122
0.0604,562.3544049
0.0604,562.3544049
0.0604,562.1782327
0.0606,562.1695254
0.0608,562.160818
0.0608,561.9846459
0.0608,562.160818
0.061,561.9759385
0.0612,561.9672312
0.0612,561.9672312
0.0614,561.7823517
0.0614,561.7823517
0.0616,561.4213001
0.0616,561.4213001
0.0618,561.4125927
0.0618,561.2364206
0.0618,561.4125927
0.062,561.2277132
0.0622,561.0428337
0.0622,561.0428337
0.0624,560.6817821
0.0624,560.6817821
0.0626,560.6730747
0.0626,560.4969026
0.0628,560.4881953
0.0628,560.135851
0.063,560.1271436
0.063,560.3033158
0.0632,560.1184363
0.0632,560.1184363
0.0634,560.1097289
0.0634,559.9335568
0.0636,559.5725052
0.0636,559.7486773
0.0638,560.0923142
0.0638,559.7399699
0.064,559.5550904
0.064,559.5550904
0.0642,559.5463831
0.0644,559.3615036
0.0644,559.1853315
0.0646,559.1766241
0.0646,559.1766241
0.0648,558.9917446
0.065,558.630693
0.065,558.8068651
0.065,558.8068651
0.0652,558.6219856
0.0654,558.7894504
0.0654,558.7894504
0.0654,558.6132783
0.0656,558.4283988
0.0658,558.0673472
0.0658,558.2435193
0.066,558.2348119
0.066,558.0586398
0.0662,557.8737603
0.0662,557.8737603
0.0664,557.6888808
0.0664,557.6888808
0.0666,557.5040013
0.0666,557.5040013
0.0668,557.3191218
0.0668,557.3191218
0.067,557.1342424
0.0672,557.125535
0.0672,556.7731907
0.0674,556.9406555
0.0674,556.7644834
0.0676,556.9319481
0.0676,556.5796039
0.0678,556.3947244
0.068,556.386017
0.068,556.2098449
0.0682,556.3773097
0.0682,556.0249654
0.0684,555.8400859
0.0686,555.8313786
0.0686,555.6552064
0.0688,555.6464991
0.0688,555.4703269
0.069,555.4616196
0.069,555.2854475
0.0692,555.2767401
0.0694,555.0918606
0.0694,555.0918606
0.0696,554.9069811
0.0696,554.9069811
0.0698,554.8982738
0.0698,554.5459295
0.07,554.36105
0.07,554.36105
0.0702,554.3523426
0.0702,554.3523426
0.0704,554.1674632
0.0704,554.3436353
0.0706,553.8064115
0.0706,553.9825837
0.0708,553.9738763
0.0708,553.7977042
0.071,553.4366526
0.071,553.6128247
0.0712,553.2517731
0.0712,553.0756009
0.0714,553.2430657
0.0714,553.0668936
0.0716,552.8820141
0.0716,552.7058419
0.0718,552.6971346
0.0718,552.6971346
0.072,552.5122551
0.0722,552.3273756
0.0722,552.3273756
0.0722,552.1512035
0.0724,552.1424961
0.0726,551.7814445
0.0726,551.7814445
0.0728,551.596565
0.073,551.5878576
0.073,551.2355134
0.0732,551.0506339
0.0732,551.226806
0.0732,551.0506339
0.0734,551.0419265
0.0736,550.857047
0.0736,550.857047
0.0738,550.6721676
0.0738,550.4959954
0.074,550.4872881
0.074,550.4872881
0.0742,549.7738922
0.0742,550.4785807
0.0744,550.1175291
0.0744,550.2937012
0.0746,550.1088217
0.0746,549.9326496
0.0748,549.571598
0.0748,549.571598
0.075,549.5628906
0.0752,549.201839
0.0752,549.201839
0.0754,549.0169595
0.0754,549.0169595
0.0756,549.0082521
0.0758,548.9995448
0.0758,548.8233727
0.0758,548.8233727
0.076,548.6384932
0.0762,548.1012694
0.0762,548.1012694
0.0762,548.2774415
0.0764,547.9163899
0.0766,547.9076826
0.0766,547.7315104
0.0768,547.5466309
0.0768,547.5466309
0.077,547.5379236
0.077,547.1855793
0.0772,547.176872
0.0772,547.0006998
0.0772,547.176872
0.0774,546.8158203
0.0776,546.6309408
0.0776,546.4547687
0.0778,546.2698892
0.078,546.437354
0.078,546.0850097
0.0782,546.0763024
0.0782,545.9001302
0.0784,545.8914229
0.0784,545.7152508
0.0786,545.3541991
0.0786,545.7065434
0.0788,545.5216639
0.0788,545.3454918
0.079,545.1606123
0.079,544.9844402
0.0792,545.1519049
0.0794,544.7908533
0.0794,544.6146812
0.0796,544.2536296
0.0798,544.2449222
0.0798,544.4210943
0.08,544.0600427
0.08,543.8838706
0.0802,543.8751632
0.0802,543.8751632
0.0804,543.6902837
0.0804,543.5141116
0.0806,543.3292321
0.0806,543.3292321
0.0808,543.3205247
0.0808,542.9681805
0.081,542.9594731
0.081,542.9594731
0.0812,542.5984215
0.0814,542.5897141
0.0814,542.413542
0.0816,542.2286625
0.0818,541.8676109
0.0818,541.6914388
0.082,541.8589035
0.0822,541.4978519
0.0822,541.3216798
0.0824,541.1368003
0.0824,541.3129724
0.0824,541.1368003
0.0826,540.9519208
0.0828,540.9432134
0.0828,540.5908692
0.083,540.4059897
0.0832,540.2211102
0.0832,539.8687659
0.0834,539.8600586
0.0834,539.8600586
0.0834,539.8600586
0.0836,539.499007
0.0838,539.4902996
0.0838,539.3141275
0.0838,539.4902996
0.084,539.129248
0.0842,538.7681964
0.0842,539.1205406
0.0844,538.759489
0.0844,538.5833169
0.0846,538.3984374
0.0846,538.5746095
0.0848,538.38973
0.085,538.0286784
0.085,538.0286784
0.0852,537.8437989
0.0854,537.8350915
0.0854,537.6589194
0.0856,537.6502121
0.0856,537.2978678
0.0858,537.1129883
0.0858,536.9368162
0.086,536.7519367
0.086,536.7519367
0.0862,536.5670572
0.0862,536.3908851
0.0864,536.2060056
0.0864,536.3821777
0.0866,536.0211261
0.0866,535.8449539
0.0868,536.0124187
0.087,535.6513671
0.087,535.475195
0.0872,535.1141433
0.0872,535.1141433
0.0874,534.9292639
0.0874,534.7530917
0.0876,534.5682122
0.0876,534.3920401
0.0878,534.2071606
0.088,534.0222811
0.088,534.1984532
0.0882,533.8374016
0.0882,533.8374016
0.0884,533.6525221
0.0884,533.47635
0.0886,533.2914705
0.0888,533.2827632
0.0888,533.106591
0.089,533.0978837
0.089,532.7455394
0.0892,532.736832
0.0892,532.5606599
0.0894,532.1996083
0.0894,532.1996083
0.0896,532.0147288
0.0896,532.0147288
0.0898,531.8298493
0.0898,531.6536772
0.09,531.4687977
0.09,531.4687977
0.0902,531.2839182
0.0902,531.1077461
0.0904,530.7466944
0.0906,530.7379871
0.0906,530.7379871
0.0906,530.561815
0.0908,530.3769355
0.091,529.8397117
0.091,530.0158838
0.091,530.0158838
0.0912,529.8310044
0.0914,529.6461249
0.0914,529.2937806
0.0916,529.2850732
0.0916,529.1089011
0.0918,528.9240216
0.0918,528.9240216
0.092,528.56297
