Strain,Stress
0.0846,599.1499878
0.0848,598.7995506
0.0848,598.9662862
0.085,598.6158489
0.085,598.6158489
0.0852,598.4321473
0.0852,598.5988829
0.0854,598.4151812
0.0854,598.2484456
0.0856,598.5649507
0.0856,598.5649507
0.0858,598.5479846
0.0858,598.381249
0.086,598.1975474
0.086,598.0308118
0.0862,598.0138457
0.0862,598.1805813
0.0864,597.9968796
0.0866,597.813178
0.0866,597.9799136
0.0866,597.813178
0.0868,597.4627407
0.087,597.7792458
0.087,597.6125102
0.087,597.6125102
0.0872,597.7622798
0.0872,597.262073
0.0874,597.0783713
0.0876,597.3948764
0.0876,597.0614053
0.0876,597.2281408
0.0878,596.8777036
0.088,596.8607375
0.088,596.6940019
0.0882,596.5103003
0.0882,596.6770359
0.0884,596.6600698
0.0884,596.4933342
0.0886,596.3096325
0.0888,596.459402
0.0888,596.1259309
0.089,596.2757004
0.089,595.9422292
0.0892,596.0919987
0.0892,595.9252631
0.0894,595.5748259
0.0896,595.7245954
0.0896,595.891331
0.0896,595.5578598
0.0898,595.5408937
0.09,595.3571921
0.09,595.1904565
0.0902,595.1734904
0.0902,595.1734904
0.0904,594.8230532
0.0904,594.9897888
0.0906,594.6393515
0.0908,594.789121
0.0908,594.4556499
0.091,594.6054194
0.091,594.6054194
0.0912,594.4217177
0.0912,594.4217177
0.0914,594.238016
0.0914,594.238016
0.0916,594.0543144
0.0916,593.8875788
0.0918,593.7038771
0.0918,593.7038771
0.092,593.5201755
0.092,593.5201755
0.0922,593.5032094
0.0922,593.5032094
0.0924,593.4862433
0.0924,593.3195077
0.0926,593.3025417
0.0928,593.11884
0.0928,592.9521044
0.0928,592.9521044
0.093,592.7684028
0.0932,592.5847011
0.0932,592.4179655
0.0932,592.4179655
0.0934,592.2342638
0.0934,591.9007927
0.0936,591.717091
0.0936,592.0505622
0.0938,591.7001249
0.094,591.5164233
0.094,591.5164233
0.0942,591.4994572
0.0942,591.3327216
0.0944,591.3157555
0.0944,591.3157555
0.0946,590.9653183
0.0946,590.9653183
0.0948,590.9483522
0.0948,590.6148811
0.095,590.4311794
0.095,590.7646506
0.0952,590.5809489
0.0952,590.2474777
0.0954,590.5639828
0.0954,590.2305117
0.0956,590.04681
0.0958,590.0298439
0.0958,589.6963727
0.0958,589.6963727
0.096,589.5126711
0.0962,589.495705
0.0962,589.3289694
0.0964,589.3120033
0.0964,589.3120033
0.0964,589.3120033
0.0966,588.9615661
0.0968,588.9446
0.0968,588.9446
0.0968,588.9446
0.097,588.4274272
0.0972,588.4104611
0.0972,588.4104611
0.0974,588.2267595
0.0976,588.0430578
0.0976,587.7095866
0.0978,587.6926206
0.098,587.5089189
0.098,587.6756545
0.0982,587.3252172
0.0982,587.1584816
0.0984,586.97478
0.0984,586.97478
0.0986,586.7910783
0.0986,586.4576072
0.0988,586.2739055
0.0988,586.2739055
0.099,586.0902038
0.099,585.9234682
0.0992,585.7397666
0.0992,586.0732378
0.0994,585.7228005
0.0994,585.5560649
0.0996,585.7058344
0.0996,585.3723633
0.0998,585.021926
0.0998,584.8551904
0.1,584.6714888
0.1,584.6714888
0.1002,584.8212583
0.1002,584.6545227
0.1004,584.6375566
0.1004,584.470821
0.1006,584.2871194
0.1006,584.1203838
0.1008,583.9366821
0.101,583.9197161
0.101,583.5862449
0.101,583.5862449
0.1012,583.2358076
0.1014,583.052106
0.1014,582.8853704
0.1014,582.7186348
0.1016,582.7016687
0.1018,582.5179671
0.1018,582.5179671
0.102,582.3342654
0.102,582.3342654
0.102,582.0007942
0.1022,581.650357
0.1024,581.8001265
0.1024,581.2999198
0.1024,581.6333909
0.1026,581.4496893
0.1028,580.7657809
0.1028,581.099252
0.103,580.5820792
0.103,580.5820792
0.1032,580.5651131
0.1032,580.2316419
0.1034,579.8812047
0.1034,580.0479403
0.1036,579.697503
0.1036,579.697503
0.1038,579.5138014
0.1038,579.1803302
0.104,578.829893
0.104,578.6631574
0.1042,578.8129269
0.1042,578.4794557
0.1044,578.2957541
0.1044,578.2957541
0.1046,578.1120524
0.1046,577.7785812
0.1048,577.7616152
0.105,577.5779135
0.105,577.2444423
0.105,577.4111779
0.1052,577.0607407
0.1054,576.7103034
0.1054,576.5435678
0.1056,576.3598662
0.1056,576.1931306
0.1058,576.1761645
0.106,575.8257273
0.106,575.6589917
0.106,575.8257273
0.1062,575.3085544
0.1064,575.2915884
0.1064,574.9581172
0.1066,574.9411511
0.1066,574.7744155
0.1068,574.7574495
0.1068,574.2572427
0.107,574.073541
0.107,573.7400699
0.1072,573.7231038
0.1072,573.7231038
0.1074,573.5394021
0.1074,573.205931
0.1076,573.0222293
0.1076,573.0222293
0.1078,572.6717921
0.1078,572.5050565
0.108,571.9878836
0.108,572.1546192
0.1082,572.1376532
0.1082,571.804182
0.1084,571.2870092
0.1086,571.2700431
0.1086,571.1033075
0.1088,570.7528703
0.1088,570.4193991
0.109,570.2356974
0.109,570.0689618
0.1092,570.0519958
0.1092,569.7185246
0.1094,569.5348229
0.1096,569.1843857
0.1096,569.1843857
0.1096,568.8509145
0.1098,568.6672129
0.1098,568.3337417
0.11,568.15004
0.1102,568.133074
0.1102,567.9663384
0.1102,567.7996028
0.1104,567.4491655
0.1106,567.2654639
0.1106,566.9319927
0.1106,566.9319927
0.1108,566.748291
0.111,566.3978538
0.111,565.8976471
0.1112,566.0474166
0.1112,565.880681
0.1114,565.5302437
0.1114,565.6969793
0.1116,565.0130709
0.1116,565.0130709
0.1118,564.8293692
0.1118,564.4958981
0.112,564.478932
0.112,564.1454608
0.1122,564.1284947
0.1122,564.1284947
0.1124,563.7780575
0.1124,563.2778508
0.1126,563.2608847
0.1126,562.9274135
0.1128,562.5769763
0.1128,562.5769763
0.113,562.226539
0.113,562.226539
0.1132,561.8761018
0.1132,561.5426306
0.1134,561.3589289
0.1134,561.1921934
0.1136,560.8417561
0.1136,560.6750205
0.1138,560.6580545
0.1138,559.9911121
0.114,559.8074105
0.1142,559.7904444
0.1142,559.6237088
0.1144,558.9398004
0.1144,558.9398004
0.1146,558.7560987
0.1146,558.4226276
0.1148,558.2389259
0.115,557.7217531
0.115,557.5550175
0.1152,557.5380514
0.1152,557.2045802
0.1152,557.0378446
0.1154,556.854143
0.1154,556.6874074
0.1156,556.3369702
0.1158,555.9865329
0.1158,555.9865329
0.116,555.8028313
0.116,555.3026245
0.1162,555.1189228
0.1162,554.9521873
0.1162,554.7854517
0.1164,554.4350144
0.1166,554.0845772
0.1166,554.0845772
0.1168,553.7341399
0.1168,553.7341399
0.117,553.2169671
0.117,553.3837027
0.1172,553.0332654
0.1172,552.5330587
0.1174,552.5160926
0.1174,552.1826214
0.1176,551.8321842
0.1176,551.6654486
0.1178,551.3150114
0.1178,550.9815402
0.118,550.7978385
0.118,550.631103
0.1182,550.2806657
0.1184,550.0969641
0.1184,550.0969641
0.1184,549.5967573
0.1186,549.4130556
0.1186,549.0795845
0.1188,548.7291472
0.1188,548.8958828
0.119,548.2119744
0.1192,548.0282727
0.1192,547.8615372
0.1194,547.5110999
0.1194,547.3443643
0.1196,547.1606627
0.1196,546.8271915
0.1198,546.4767543
0.1198,546.6434898
0.1198,546.4767543
